#Loop_length	position	psi	phi	counts
4	0	-180.0	-180.0	0.0
4	0	-180.0	-175.0	0.0
4	0	-180.0	-170.0	0.0
4	0	-180.0	-165.0	0.0
4	0	-180.0	-160.0	0.0
4	0	-180.0	-155.0	0.0
4	0	-180.0	-150.0	2.5983e-319
4	0	-180.0	-145.0	1.3161447013417464e-288
4	0	-180.0	-140.0	9.258944112219535e-269
4	0	-180.0	-135.0	9.046013635916869e-260
4	0	-180.0	-130.0	1.2274136984410397e-261
4	0	-180.0	-125.0	2.3129308356706244e-274
4	0	-180.0	-120.0	6.053022367788442e-298
4	0	-180.0	-115.0	0.0
4	0	-180.0	-110.0	0.0
4	0	-180.0	-105.0	0.0
4	0	-180.0	-100.0	0.0
4	0	-180.0	-95.0	0.0
4	0	-180.0	-90.0	0.0
4	0	-180.0	-85.0	0.0
4	0	-180.0	-80.0	0.0
4	0	-180.0	-75.0	0.0
4	0	-180.0	-70.0	0.0
4	0	-180.0	-65.0	0.0
4	0	-180.0	-60.0	0.0
4	0	-180.0	-55.0	0.0
4	0	-180.0	-50.0	0.0
4	0	-180.0	-45.0	0.0
4	0	-180.0	-40.0	0.0
4	0	-180.0	-35.0	0.0
4	0	-180.0	-30.0	0.0
4	0	-180.0	-25.0	0.0
4	0	-180.0	-20.0	0.0
4	0	-180.0	-15.0	0.0
4	0	-180.0	-10.0	0.0
4	0	-180.0	-5.0	0.0
4	0	-180.0	0.0	0.0
4	0	-180.0	5.0	0.0
4	0	-180.0	10.0	9.717410759e-314
4	0	-180.0	15.0	1.951794125904e-312
4	0	-180.0	20.0	5.43e-322
4	0	-180.0	25.0	0.0
4	0	-180.0	30.0	0.0
4	0	-180.0	35.0	0.0
4	0	-180.0	40.0	0.0
4	0	-180.0	45.0	0.0
4	0	-180.0	50.0	0.0
4	0	-180.0	55.0	0.0
4	0	-180.0	60.0	0.0
4	0	-180.0	65.0	0.0
4	0	-180.0	70.0	0.0
4	0	-180.0	75.0	0.0
4	0	-180.0	80.0	0.0
4	0	-180.0	85.0	0.0
4	0	-180.0	90.0	0.0
4	0	-180.0	95.0	0.0
4	0	-180.0	100.0	0.0
4	0	-180.0	105.0	0.0
4	0	-180.0	110.0	0.0
4	0	-180.0	115.0	0.0
4	0	-180.0	120.0	0.0
4	0	-180.0	125.0	0.0
4	0	-180.0	130.0	0.0
4	0	-180.0	135.0	0.0
4	0	-180.0	140.0	0.0
4	0	-180.0	145.0	0.0
4	0	-180.0	150.0	0.0
4	0	-180.0	155.0	0.0
4	0	-180.0	160.0	0.0
4	0	-180.0	165.0	0.0
4	0	-180.0	170.0	0.0
4	0	-180.0	175.0	0.0
4	0	-175.0	-180.0	0.0
4	0	-175.0	-175.0	0.0
4	0	-175.0	-170.0	0.0
4	0	-175.0	-165.0	0.0
4	0	-175.0	-160.0	0.0
4	0	-175.0	-155.0	0.0
4	0	-175.0	-150.0	0.0
4	0	-175.0	-145.0	0.0
4	0	-175.0	-140.0	0.0
4	0	-175.0	-135.0	0.0
4	0	-175.0	-130.0	0.0
4	0	-175.0	-125.0	0.0
4	0	-175.0	-120.0	0.0
4	0	-175.0	-115.0	0.0
4	0	-175.0	-110.0	0.0
4	0	-175.0	-105.0	0.0
4	0	-175.0	-100.0	0.0
4	0	-175.0	-95.0	0.0
4	0	-175.0	-90.0	0.0
4	0	-175.0	-85.0	0.0
4	0	-175.0	-80.0	0.0
4	0	-175.0	-75.0	0.0
4	0	-175.0	-70.0	0.0
4	0	-175.0	-65.0	0.0
4	0	-175.0	-60.0	0.0
4	0	-175.0	-55.0	0.0
4	0	-175.0	-50.0	0.0
4	0	-175.0	-45.0	0.0
4	0	-175.0	-40.0	0.0
4	0	-175.0	-35.0	0.0
4	0	-175.0	-30.0	0.0
4	0	-175.0	-25.0	0.0
4	0	-175.0	-20.0	0.0
4	0	-175.0	-15.0	0.0
4	0	-175.0	-10.0	0.0
4	0	-175.0	-5.0	0.0
4	0	-175.0	0.0	0.0
4	0	-175.0	5.0	0.0
4	0	-175.0	10.0	0.0
4	0	-175.0	15.0	0.0
4	0	-175.0	20.0	0.0
4	0	-175.0	25.0	0.0
4	0	-175.0	30.0	0.0
4	0	-175.0	35.0	0.0
4	0	-175.0	40.0	0.0
4	0	-175.0	45.0	0.0
4	0	-175.0	50.0	0.0
4	0	-175.0	55.0	0.0
4	0	-175.0	60.0	0.0
4	0	-175.0	65.0	0.0
4	0	-175.0	70.0	0.0
4	0	-175.0	75.0	0.0
4	0	-175.0	80.0	0.0
4	0	-175.0	85.0	0.0
4	0	-175.0	90.0	0.0
4	0	-175.0	95.0	0.0
4	0	-175.0	100.0	0.0
4	0	-175.0	105.0	0.0
4	0	-175.0	110.0	0.0
4	0	-175.0	115.0	0.0
4	0	-175.0	120.0	0.0
4	0	-175.0	125.0	0.0
4	0	-175.0	130.0	0.0
4	0	-175.0	135.0	0.0
4	0	-175.0	140.0	0.0
4	0	-175.0	145.0	0.0
4	0	-175.0	150.0	0.0
4	0	-175.0	155.0	0.0
4	0	-175.0	160.0	0.0
4	0	-175.0	165.0	0.0
4	0	-175.0	170.0	0.0
4	0	-175.0	175.0	0.0
4	0	-170.0	-180.0	0.0
4	0	-170.0	-175.0	0.0
4	0	-170.0	-170.0	0.0
4	0	-170.0	-165.0	0.0
4	0	-170.0	-160.0	0.0
4	0	-170.0	-155.0	0.0
4	0	-170.0	-150.0	0.0
4	0	-170.0	-145.0	0.0
4	0	-170.0	-140.0	0.0
4	0	-170.0	-135.0	0.0
4	0	-170.0	-130.0	0.0
4	0	-170.0	-125.0	0.0
4	0	-170.0	-120.0	0.0
4	0	-170.0	-115.0	0.0
4	0	-170.0	-110.0	0.0
4	0	-170.0	-105.0	0.0
4	0	-170.0	-100.0	0.0
4	0	-170.0	-95.0	0.0
4	0	-170.0	-90.0	0.0
4	0	-170.0	-85.0	0.0
4	0	-170.0	-80.0	0.0
4	0	-170.0	-75.0	0.0
4	0	-170.0	-70.0	0.0
4	0	-170.0	-65.0	0.0
4	0	-170.0	-60.0	0.0
4	0	-170.0	-55.0	0.0
4	0	-170.0	-50.0	0.0
4	0	-170.0	-45.0	0.0
4	0	-170.0	-40.0	0.0
4	0	-170.0	-35.0	0.0
4	0	-170.0	-30.0	0.0
4	0	-170.0	-25.0	0.0
4	0	-170.0	-20.0	0.0
4	0	-170.0	-15.0	0.0
4	0	-170.0	-10.0	0.0
4	0	-170.0	-5.0	0.0
4	0	-170.0	0.0	0.0
4	0	-170.0	5.0	0.0
4	0	-170.0	10.0	0.0
4	0	-170.0	15.0	0.0
4	0	-170.0	20.0	0.0
4	0	-170.0	25.0	0.0
4	0	-170.0	30.0	0.0
4	0	-170.0	35.0	0.0
4	0	-170.0	40.0	0.0
4	0	-170.0	45.0	0.0
4	0	-170.0	50.0	0.0
4	0	-170.0	55.0	0.0
4	0	-170.0	60.0	0.0
4	0	-170.0	65.0	0.0
4	0	-170.0	70.0	0.0
4	0	-170.0	75.0	0.0
4	0	-170.0	80.0	0.0
4	0	-170.0	85.0	0.0
4	0	-170.0	90.0	0.0
4	0	-170.0	95.0	0.0
4	0	-170.0	100.0	0.0
4	0	-170.0	105.0	0.0
4	0	-170.0	110.0	0.0
4	0	-170.0	115.0	0.0
4	0	-170.0	120.0	0.0
4	0	-170.0	125.0	0.0
4	0	-170.0	130.0	0.0
4	0	-170.0	135.0	0.0
4	0	-170.0	140.0	0.0
4	0	-170.0	145.0	0.0
4	0	-170.0	150.0	0.0
4	0	-170.0	155.0	0.0
4	0	-170.0	160.0	0.0
4	0	-170.0	165.0	0.0
4	0	-170.0	170.0	0.0
4	0	-170.0	175.0	0.0
4	0	-165.0	-180.0	0.0
4	0	-165.0	-175.0	0.0
4	0	-165.0	-170.0	0.0
4	0	-165.0	-165.0	0.0
4	0	-165.0	-160.0	0.0
4	0	-165.0	-155.0	0.0
4	0	-165.0	-150.0	0.0
4	0	-165.0	-145.0	0.0
4	0	-165.0	-140.0	0.0
4	0	-165.0	-135.0	0.0
4	0	-165.0	-130.0	0.0
4	0	-165.0	-125.0	0.0
4	0	-165.0	-120.0	0.0
4	0	-165.0	-115.0	0.0
4	0	-165.0	-110.0	0.0
4	0	-165.0	-105.0	0.0
4	0	-165.0	-100.0	0.0
4	0	-165.0	-95.0	0.0
4	0	-165.0	-90.0	0.0
4	0	-165.0	-85.0	0.0
4	0	-165.0	-80.0	0.0
4	0	-165.0	-75.0	0.0
4	0	-165.0	-70.0	0.0
4	0	-165.0	-65.0	0.0
4	0	-165.0	-60.0	0.0
4	0	-165.0	-55.0	0.0
4	0	-165.0	-50.0	0.0
4	0	-165.0	-45.0	0.0
4	0	-165.0	-40.0	0.0
4	0	-165.0	-35.0	0.0
4	0	-165.0	-30.0	0.0
4	0	-165.0	-25.0	0.0
4	0	-165.0	-20.0	0.0
4	0	-165.0	-15.0	0.0
4	0	-165.0	-10.0	0.0
4	0	-165.0	-5.0	0.0
4	0	-165.0	0.0	0.0
4	0	-165.0	5.0	0.0
4	0	-165.0	10.0	0.0
4	0	-165.0	15.0	0.0
4	0	-165.0	20.0	0.0
4	0	-165.0	25.0	0.0
4	0	-165.0	30.0	0.0
4	0	-165.0	35.0	0.0
4	0	-165.0	40.0	0.0
4	0	-165.0	45.0	0.0
4	0	-165.0	50.0	0.0
4	0	-165.0	55.0	0.0
4	0	-165.0	60.0	0.0
4	0	-165.0	65.0	0.0
4	0	-165.0	70.0	0.0
4	0	-165.0	75.0	0.0
4	0	-165.0	80.0	0.0
4	0	-165.0	85.0	0.0
4	0	-165.0	90.0	0.0
4	0	-165.0	95.0	0.0
4	0	-165.0	100.0	0.0
4	0	-165.0	105.0	0.0
4	0	-165.0	110.0	0.0
4	0	-165.0	115.0	0.0
4	0	-165.0	120.0	0.0
4	0	-165.0	125.0	0.0
4	0	-165.0	130.0	0.0
4	0	-165.0	135.0	0.0
4	0	-165.0	140.0	0.0
4	0	-165.0	145.0	0.0
4	0	-165.0	150.0	0.0
4	0	-165.0	155.0	0.0
4	0	-165.0	160.0	0.0
4	0	-165.0	165.0	0.0
4	0	-165.0	170.0	0.0
4	0	-165.0	175.0	0.0
4	0	-160.0	-180.0	0.0
4	0	-160.0	-175.0	0.0
4	0	-160.0	-170.0	0.0
4	0	-160.0	-165.0	0.0
4	0	-160.0	-160.0	0.0
4	0	-160.0	-155.0	0.0
4	0	-160.0	-150.0	0.0
4	0	-160.0	-145.0	0.0
